Values[alpha].InitialValue	Values[delta].InitialValue	TaskList[Parameter Estimation].(Problem)Parameter Estimation.Best Value
0.001	0.15	3868.54
0.00100329	0.15	3868.53
0.0010066	0.15	3868.52
0.00100992	0.15	3868.52
0.00101324	0.15	3868.51
0.00101658	0.15	3868.5
0.00101993	0.15	3868.5
0.00102329	0.15	3868.49
0.00102666	0.15	3868.48
0.00103005	0.15	3868.48
0.00103344	0.15	3868.47
0.00103685	0.15	3868.46
0.00104026	0.15	3868.45
0.00104369	0.15	3868.45
0.00104713	0.15	3868.44
0.00105058	0.15	3868.43
0.00105404	0.15	3868.43
0.00105751	0.15	3868.42
0.001061	0.15	3868.41
0.00106449	0.15	3868.4
0.001068	0.15	3868.4
0.00107152	0.15	3868.39
0.00107505	0.15	3868.38
0.00107859	0.15	3868.37
0.00108215	0.15	3868.37
0.00108571	0.15	3868.36
0.00108929	0.15	3868.35
0.00109288	0.15	3868.34
0.00109648	0.15	3868.34
0.00110009	0.15	3868.33
0.00110372	0.15	3868.32
0.00110735	0.15	3868.31
0.001111	0.15	3868.31
0.00111466	0.15	3868.3
0.00111833	0.15	3868.29
0.00112202	0.15	3868.28
0.00112572	0.15	3868.27
0.00112942	0.15	3868.27
0.00113315	0.15	3868.26
0.00113688	0.15	3868.25
0.00114062	0.15	3868.24
0.00114438	0.15	3868.24
0.00114815	0.15	3868.23
0.00115194	0.15	3868.22
0.00115573	0.15	3868.21
0.00115954	0.15	3868.2
0.00116336	0.15	3868.2
0.00116719	0.15	3868.19
0.00117104	0.15	3868.18
0.0011749	0.15	3868.17
0.00117877	0.15	3868.16
0.00118265	0.15	3868.15
0.00118655	0.15	3868.15
0.00119046	0.15	3868.14
0.00119438	0.15	3868.13
0.00119832	0.15	3868.12
0.00120226	0.15	3868.11
0.00120623	0.15	3868.11
0.0012102	0.15	3868.1
0.00121419	0.15	3868.09
0.00121819	0.15	3868.08
0.0012222	0.15	3868.07
0.00122623	0.15	3868.06
0.00123027	0.15	3868.05
0.00123432	0.15	3868.05
0.00123839	0.15	3868.04
0.00124247	0.15	3868.03
0.00124656	0.15	3868.02
0.00125067	0.15	3868.01
0.00125479	0.15	3868
0.00125893	0.15	3867.99
0.00126307	0.15	3867.99
0.00126723	0.15	3867.98
0.00127141	0.15	3867.97
0.0012756	0.15	3867.96
0.0012798	0.15	3867.95
0.00128402	0.15	3867.94
0.00128825	0.15	3867.93
0.00129249	0.15	3867.92
0.00129675	0.15	3867.91
0.00130103	0.15	3867.91
0.00130531	0.15	3867.9
0.00130961	0.15	3867.89
0.00131393	0.15	3867.88
0.00131826	0.15	3867.87
0.0013226	0.15	3867.86
0.00132696	0.15	3867.85
0.00133133	0.15	3867.84
0.00133572	0.15	3867.83
0.00134012	0.15	3867.82
0.00134453	0.15	3867.81
0.00134896	0.15	3867.81
0.00135341	0.15	3867.8
0.00135787	0.15	3867.79
0.00136234	0.15	3867.78
0.00136683	0.15	3867.77
0.00137133	0.15	3867.76
0.00137585	0.15	3867.75
0.00138038	0.15	3867.74
0.00138493	0.15	3867.73
0.0013895	0.15	3867.72
0.00139407	0.15	3867.71
0.00139867	0.15	3867.7
0.00140328	0.15	3867.69
0.0014079	0.15	3867.68
0.00141254	0.15	3867.67
0.00141719	0.15	3867.66
0.00142186	0.15	3867.65
0.00142655	0.15	3867.64
0.00143125	0.15	3867.63
0.00143596	0.15	3867.62
0.00144069	0.15	3867.61
0.00144544	0.15	3867.6
0.0014502	0.15	3867.59
0.00145498	0.15	3867.58
0.00145977	0.15	3867.57
0.00146458	0.15	3867.56
0.00146941	0.15	3867.55
0.00147425	0.15	3867.54
0.00147911	0.15	3867.53
0.00148398	0.15	3867.52
0.00148887	0.15	3867.51
0.00149378	0.15	3867.5
0.0014987	0.15	3867.49
0.00150364	0.15	3867.48
0.00150859	0.15	3867.47
0.00151356	0.15	3867.46
0.00151855	0.15	3867.45
0.00152355	0.15	3867.44
0.00152857	0.15	3867.43
0.00153361	0.15	3867.42
0.00153866	0.15	3867.4
0.00154373	0.15	3867.39
0.00154882	0.15	3867.38
0.00155392	0.15	3867.37
0.00155904	0.15	3867.36
0.00156418	0.15	3867.35
0.00156933	0.15	3867.34
0.0015745	0.15	3867.33
0.00157969	0.15	3867.32
0.00158489	0.15	3867.31
0.00159012	0.15	3867.3
0.00159535	0.15	3867.29
0.00160061	0.15	3867.27
0.00160588	0.15	3867.26
0.00161118	0.15	3867.25
0.00161648	0.15	3867.24
0.00162181	0.15	3867.23
0.00162715	0.15	3867.22
0.00163251	0.15	3867.21
0.00163789	0.15	3867.2
0.00164329	0.15	3867.18
0.0016487	0.15	3867.17
0.00165414	0.15	3867.16
0.00165959	0.15	3867.15
0.00166505	0.15	3867.14
0.00167054	0.15	3867.13
0.00167605	0.15	3867.11
0.00168157	0.15	3867.1
0.00168711	0.15	3867.09
0.00169267	0.15	3867.08
0.00169824	0.15	3867.07
0.00170384	0.15	3867.06
