Time	[A]	[B]
0	10	10
0.005	23.2966	10.0681
0.01	54.2658	10.2969
0.015	126.354	10.9224
0.02	293.891	12.6126
0.025	681.492	17.7337
0.03	1563.07	39.1861
0.035	3337.33	231.198
0.04	2248.83	3327.66
0.045	42.1018	5372.79
0.05	0.452564	5382.99
0.055	0.00495705	5356.54
0.06	5.57648e-05	5329.83
0.065	6.44274e-07	5303.24
0.07	7.64357e-09	5276.79
0.075	9.31067e-11	5250.48
0.08	1.16438e-12	5224.29
0.085	1.49798e-14	5198.23
0.09	2.07086e-16	5172.31
0.095	2.40722e-16	5146.51
0.1	-1.07783e-17	5120.84
0.105	3.43587e-16	5095.3
0.11	-9.06495e-18	5069.89
0.115	1.26107e-16	5044.6
0.12	5.60205e-16	5019.44
0.125	2.09553e-16	4994.41
0.13	-1.0345e-17	4969.5
0.135	-5.54351e-17	4944.71
0.14	-6.53631e-18	4920.05
0.145	1.56115e-17	4895.51
0.15	2.91379e-17	4871.09
0.155	2.01237e-17	4846.8
0.16	2.70737e-17	4822.63
0.165	2.99091e-17	4798.57
0.17	1.18366e-17	4774.64
0.175	4.11027e-18	4750.83
0.18	2.53515e-18	4727.13
0.185	-3.41277e-19	4703.56
0.19	1.29442e-18	4680.1
0.195	2.61082e-18	4656.75
0.2	2.62021e-18	4633.53
0.205	3.86017e-18	4610.42
0.21	2.31162e-18	4587.42
0.215	9.41766e-19	4564.54
0.22	-1.16812e-19	4541.78
0.225	-7.10668e-19	4519.13
0.23	-1.04694e-18	4496.59
0.235	-1.98021e-19	4474.16
0.24	1.0914e-18	4451.85
0.245	1.8148e-18	4429.64
0.25	1.90905e-18	4407.55
0.255	2.5704e-18	4385.57
0.26	2.8916e-18	4363.69
0.265	2.58353e-18	4341.93
0.27	1.30187e-18	4320.27
0.275	1.12231e-18	4298.73
0.28	1.02822e-18	4277.29
0.285	8.26808e-19	4255.95
0.29	1.7052e-19	4234.73
0.295	6.31323e-19	4213.61
0.3	1.20748e-18	4192.59
0.305	1.52618e-18	4171.68
0.31	1.06e-18	4150.87
0.315	1.32075e-18	4130.17
0.32	1.27178e-18	4109.57
0.325	6.31691e-19	4089.07
0.33	-9.2671e-19	4068.68
0.335	-1.8642e-18	4048.39
0.34	-2.64831e-18	4028.2
0.345	-2.93916e-18	4008.11
0.35	-2.28814e-18	3988.11
0.355	-1.81551e-18	3968.22
0.36	-8.33329e-19	3948.43
0.365	7.26151e-19	3928.74
0.37	2.90828e-18	3909.14
0.375	4.54836e-18	3889.65
0.38	5.87786e-18	3870.25
0.385	6.49686e-18	3850.95
0.39	5.89467e-18	3831.74
0.395	3.43984e-18	3812.63
0.4	1.40056e-18	3793.61
0.405	-4.18714e-20	3774.69
0.41	-1.4507e-18	3755.87
0.415	-2.50686e-18	3737.13
0.42	-2.79191e-18	3718.49
0.425	-2.70071e-18	3699.95
0.43	-3.07817e-18	3681.49
0.435	-3.04472e-18	3663.13
0.44	-2.48709e-18	3644.86
0.445	-1.28927e-18	3626.68
0.45	5.10584e-19	3608.6
0.455	1.94697e-18	3590.6
0.46	3.33034e-18	3572.69
0.465	4.39719e-18	3554.87
0.47	4.80943e-18	3537.14
0.475	4.14748e-18	3519.5
0.48	3.80311e-18	3501.95
0.485	3.11483e-18	3484.48
0.49	1.85443e-18	3467.1
0.495	-3.53733e-20	3449.81
0.5	-2.59549e-18	3432.6
0.505	-5.13645e-18	3415.48
0.51	-7.15137e-18	3398.45
0.515	-8.55405e-18	3381.5
0.52	-8.85743e-18	3364.63
0.525	-7.46568e-18	3347.85
0.53	-5.76147e-18	3331.15
0.535	-7.14629e-18	3314.54
0.54	-8.33437e-18	3298.01
0.545	-9.16528e-18	3281.56
0.55	-9.44664e-18	3265.19
0.555	-8.95172e-18	3248.91
0.56	-7.41718e-18	3232.7
0.565	-4.54069e-18	3216.58
0.57	-7.94355e-19	3200.54
0.575	7.24043e-19	3184.57
0.58	2.24123e-18	3168.69
0.585	3.63397e-18	3152.89
0.59	4.75267e-18	3137.16
0.595	5.41952e-18	3121.52
0.6	5.42671e-18	3105.95
0.605	4.53454e-18	3090.46
0.61	2.69242e-18	3075.04
0.615	2.51258e-18	3059.71
0.62	2.1998e-18	3044.45
0.625	1.78289e-18	3029.26
0.63	1.30285e-18	3014.15
0.635	8.13945e-19	2999.12
0.64	3.84776e-19	2984.16
0.645	9.93512e-20	2969.28
0.65	5.81514e-20	2954.47
0.655	-3.36398e-19	2939.73
0.66	-6.38161e-19	2925.07
0.665	-7.62168e-19	2910.48
0.67	-6.38422e-19	2895.97
0.675	-1.88072e-19	2881.52
0.68	6.76983e-19	2867.15
0.685	2.05449e-18	2852.85
0.69	4.05222e-18	2838.62
0.695	5.55353e-18	2824.46
0.7	6.96913e-18	2810.38
0.705	8.44054e-18	2796.36
0.71	9.90361e-18	2782.41
0.715	1.12798e-17	2768.54
0.72	1.24754e-17	2754.73
0.725	1.338e-17	2740.99
0.73	1.38661e-17	2727.32
0.735	1.42364e-17	2713.72
0.74	1.43475e-17	2700.18
0.745	1.39524e-17	2686.71
0.75	1.29385e-17	2673.31
0.755	1.11821e-17	2659.98
0.76	8.54859e-18	2646.71
0.765	4.89196e-18	2633.51
0.77	5.42647e-20	2620.38
0.775	-4.74107e-18	2607.31
0.78	-9.05736e-18	2594.3
0.785	-1.35515e-17	2581.37
0.79	-1.80718e-17	2568.49
0.795	-2.24355e-17	2555.68
0.8	-2.64266e-17	2542.93
0.805	-2.97942e-17	2530.25
0.81	-3.22503e-17	2517.63
0.815	-3.39248e-17	2505.07
0.82	-3.49336e-17	2492.58
0.825	-3.4577e-17	2480.15
0.83	-3.2552e-17	2467.78
0.835	-2.85282e-17	2455.47
0.84	-2.21463e-17	2443.22
0.845	-1.30171e-17	2431.04
0.85	-7.20576e-19	2418.91
0.855	1.3397e-17	2406.85
0.86	2.59632e-17	2394.85
0.865	3.95843e-17	2382.9
0.87	5.39629e-17	2371.02
0.875	6.87295e-17	2359.19
0.88	8.34381e-17	2347.42
0.885	9.75613e-17	2335.72
0.89	1.10485e-16	2324.07
0.895	1.21534e-16	2312.48
0.9	1.30032e-16	2300.94
0.905	1.35013e-16	2289.47
0.91	1.35494e-16	2278.05
0.915	1.30381e-16	2266.69
0.92	1.18469e-16	2255.38
0.925	9.84366e-17	2244.13
0.93	6.88411e-17	2232.94
0.935	2.91421e-17	2221.8
0.94	-6.72226e-18	2210.72
0.945	-4.8325e-17	2199.69
0.95	-9.54567e-17	2188.72
0.955	-1.47772e-16	2177.81
0.96	-2.04779e-16	2166.95
0.965	-2.65827e-16	2156.14
0.97	-3.30099e-16	2145.38
0.975	-3.96598e-16	2134.68
0.98	-4.5292e-16	2124.04
0.985	-5.02362e-16	2113.44
0.99	-5.42291e-16	2102.9
0.995	-5.6919e-16	2092.41
1	-5.79103e-16	2081.98
1.005	-5.67613e-16	2071.59
1.01	-5.29826e-16	2061.26
1.015	-4.60342e-16	2050.98
1.02	-3.83322e-16	2040.75
1.025	-2.86038e-16	2030.57
1.03	-1.61129e-16	2020.45
1.035	-6.31227e-18	2010.37
1.04	1.80654e-16	2000.34
1.045	4.01955e-16	1990.37
1.05	6.59709e-16	1980.44
1.055	9.55951e-16	1970.56
1.06	1.24529e-15	1960.73
1.065	1.52595e-15	1950.95
1.07	1.80678e-15	1941.22
1.075	2.07928e-15	1931.54
1.08	2.33358e-15	1921.91
1.085	2.55833e-15	1912.32
1.09	2.74065e-15	1902.79
1.095	2.86604e-15	1893.29
1.1	2.93394e-15	1883.85
1.105	2.93397e-15	1874.46
1.11	2.84081e-15	1865.11
1.115	2.6368e-15	1855.81
