Time	[A]	[B]
0	10.485678723048764	10.409139718326472
0.5	5.929221457837188	11.426259612387492
1	4.961968468978492	9.77027543014252
1.5	2.6712398049672816	7.955559275172229
2	1.9110057739725717	3.68146028038298
2.5	2.4934121375543747	1.8496410574737008
3	3.04834178978648	4.001786419563235
3.5	4.033832415864822	1.9212150886217654
4	4.997749577524793	1.6227149480691714
4.5	7.797810278178515	3.273658356144322
5	10.82518612461975	2.8052731699162194
5.5	12.695369806416224	1.4753896564651
6	15.119380269620113	3.921325838390084
6.5	10.779632242926846	7.885139990838218
7	7.813948892783364	11.8730213922744
7.5	4.567153152376038	8.821861016093713
8	1.5849392581582833	10.500121954440608
8.5	3.04563488892896	5.756733305984121
9	1.0665496084473465	4.475449802394487
9.5	2.590792741550077	1.7941210501320104
10	3.443548421289824	3.002112588698738
10.5	3.221662147281538	2.4432965947424594
11	4.055578821715185	2.02528787200146
11.5	9.117999370948507	2.6208316359502932
12	10.840050258164073	2.050341549524284
12.5	14.994350850559492	3.9157574192291422
13	11.787722009368634	7.000369741099053
13.5	9.674607306726884	11.778014862673178
14	4.093461476621817	10.878329287598167
14.5	1.6849946175986201	8.257590605109149
15	1.448859394838361	6.247802169573339
15.5	2.0619523479272415	4.25574101641719
16	1.550934874063472	2.18940262662965
16.5	2.7323158018960094	3.314386000750151
17	6.259793442336285	3.4505296133813017
17.5	4.858504557131836	2.2249549383959106
18	7.74708268728784	1.5231935522722928
18.5	11.324108296363008	0.8602143717489066
19	13.313765004948444	2.802781402685933
19.5	15.502586022412322	4.226597993222603
20	11.453423098862183	10.128160139582329
20.5	6.87040364390799	12.107119221594102
21	2.8786848160697174	9.227797659143102
21.5	5.348774815856527	6.441973458706589
22	3.2038430177344477	5.96336529572057
22.5	0.8625226261160575	2.821918195612512
23	1.0710602324194756	2.6439628613682835
23.5	4.712263729515923	3.1930727627546323
24	5.121050324374139	3.8365679898032607
